City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Dubai,AE,89.85,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
5,Rikitea,PF,77.32,overcast clouds,-23.1203,-134.9692,People ThankYou
11,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
13,Innisfail,AU,76.5,overcast clouds,-17.5333,146.0333,Moondarra Motel
20,Tabou,CI,77.41,scattered clouds,4.423,-7.3528,hotêl doufoulougou
21,Karaton,ID,84.22,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
25,Victoria,HK,86.97,overcast clouds,22.2855,114.1577,Mini Central
30,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
36,Atambua,ID,83.64,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
37,Hithadhoo,MV,84.09,overcast clouds,-0.6,73.0833,Scoop Guest House
45,Kahului,US,81.97,clear sky,20.8947,-156.47,Maui Seaside Hotel
48,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
53,Makakilo City,US,80.92,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
65,Vaini,TO,77.5,overcast clouds,-21.2,-175.2,Keleti Beach Resort
67,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
78,San Patricio,US,82.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
82,Banjar,ID,86.4,clear sky,-8.19,114.9675,The Hamsa Resort
88,Anloga,GH,80.98,light rain,5.7947,0.8973,Pin Drop Hotel
90,Samarai,PG,80.6,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
91,Butaritari,KI,81.68,clear sky,3.0707,172.7902,Isles Sunset Lodge
93,Mubi,NG,75.47,broken clouds,10.2676,13.2644,LASVEGAS BAR AND MOTEL
95,Alepe,CI,82.27,light rain,5.5004,-3.6631,BENENE 1
96,Atuona,PF,78.64,clear sky,-9.8,-139.0333,Villa Enata
98,Fairbanks,US,77.02,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
101,Manokwari,ID,84.63,clear sky,-0.8667,134.0833,Swiss Belhotel Manokwari
102,Mlonggo,ID,85.24,clear sky,-6.5333,110.7,Asia Metal Art
108,Hongjiang,CN,77.83,light rain,27.11,109.9956,洪江大酒店
112,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
118,Tezu,IN,76.39,overcast clouds,27.9167,96.1667,Circuit House
119,Kenai,US,78.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
120,Hasaki,JP,79.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
123,Oranjestad,AW,80.15,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
129,Hilo,US,83.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
130,Cabo San Lucas,MX,79.9,clear sky,22.8909,-109.9124,Vista Roof Restaurant
131,Bengkulu,ID,82.31,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
133,Faanui,PF,79.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Daru,PG,82.08,broken clouds,-9.0763,143.2092,Daru Lodge
137,Hambantota,LK,83.32,broken clouds,6.1241,81.1185,Bungalow 63
138,Erenhot,CN,81.68,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
