City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dubai,AE,25.2582,55.3047,89.85,40,0,8.05,clear sky
1,Castro,BR,-24.7911,-50.0119,55.9,98,100,1.25,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,57.54,42,52,6.51,broken clouds
3,Mayo,US,38.8876,-76.5119,74.57,95,0,0.0,clear sky
4,Mataura,NZ,-46.1927,168.8643,50.49,91,100,6.46,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,77.32,75,98,11.65,overcast clouds
6,Upernavik,GL,72.7868,-56.1549,31.44,75,100,8.1,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,35.26,55,0,4.61,clear sky
8,Nacala,MZ,-14.5428,40.6728,65.89,84,49,9.42,scattered clouds
9,Cape Town,ZA,-33.9258,18.4232,59.38,72,0,2.51,clear sky
10,Busselton,AU,-33.65,115.3333,58.86,65,100,6.04,overcast clouds
11,Cayenne,GF,4.9333,-52.3333,77.09,1,0,1.01,clear sky
12,Atasu,KZ,48.6814,71.6433,65.71,32,0,1.41,clear sky
13,Innisfail,AU,-17.5333,146.0333,76.5,69,93,5.19,overcast clouds
14,Severo-Kurilsk,RU,50.6789,156.125,45.05,86,95,5.39,overcast clouds
15,Bredasdorp,ZA,-34.5322,20.0403,47.97,87,0,4.38,clear sky
16,Necochea,AR,-38.5473,-58.7368,40.96,80,48,7.65,scattered clouds
17,Santa Maria,BR,-29.6842,-53.8069,40.71,91,0,4.0,clear sky
18,Port Elizabeth,ZA,-33.918,25.5701,52.32,95,1,4.0,clear sky
19,Nikolskoye,RU,59.7035,30.7861,52.72,87,100,4.7,overcast clouds
20,Tabou,CI,4.423,-7.3528,77.41,87,26,4.92,scattered clouds
21,Karaton,ID,-6.3424,106.1045,84.22,65,62,5.19,broken clouds
22,Barrow,US,71.2906,-156.7887,26.62,93,100,6.91,mist
23,Okhotsk,RU,59.3833,143.3,49.17,75,28,7.29,scattered clouds
